Price Range ($),Count,Is Current Bucket,Current Price
$0K-$1K,2358,False,76838.23
$1K-$2K,113,False,76838.23
$2K-$3K,75,False,76838.23
$3K-$4K,130,False,76838.23
$4K-$5K,74,False,76838.23
$5K-$6K,66,False,76838.23
$6K-$7K,179,False,76838.23
$7K-$8K,151,False,76838.23
$8K-$9K,152,False,76838.23
$9K-$10K,172,False,76838.23
$10K-$11K,113,False,76838.23
$11K-$12K,86,False,76838.23
$12K-$13K,11,False,76838.23
$13K-$14K,20,False,76838.23
$14K-$15K,15,False,76838.23
$15K-$16K,14,False,76838.23
$16K-$17K,61,False,76838.23
$17K-$18K,23,False,76838.23
$18K-$19K,21,False,76838.23
$19K-$20K,64,False,76838.23
$20K-$21K,42,False,76838.23
$21K-$22K,34,False,76838.23
$22K-$23K,28,False,76838.23
$23K-$24K,44,False,76838.23
$24K-$25K,15,False,76838.23
$25K-$26K,21,False,76838.23
$26K-$27K,56,False,76838.23
$27K-$28K,48,False,76838.23
$28K-$29K,33,False,76838.23
$29K-$30K,60,False,76838.23
$30K-$31K,40,False,76838.23
$31K-$32K,19,False,76838.23
$32K-$33K,10,False,76838.23
$33K-$34K,21,False,76838.23
$34K-$35K,22,False,76838.23
$35K-$36K,24,False,76838.23
$36K-$37K,22,False,76838.23
$37K-$38K,35,False,76838.23
$38K-$39K,29,False,76838.23
$39K-$40K,30,False,76838.23
$40K-$41K,17,False,76838.23
$41K-$42K,31,False,76838.23
$42K-$43K,39,False,76838.23
$43K-$44K,39,False,76838.23
$44K-$45K,21,False,76838.23
$45K-$46K,12,False,76838.23
$46K-$47K,28,False,76838.23
$47K-$48K,27,False,76838.23
$48K-$49K,22,False,76838.23
$49K-$50K,17,False,76838.23
$50K-$51K,15,False,76838.23
$51K-$52K,15,False,76838.23
$52K-$53K,7,False,76838.23
$53K-$54K,7,False,76838.23
$54K-$55K,16,False,76838.23
$55K-$56K,6,False,76838.23
$56K-$57K,23,False,76838.23
$57K-$58K,30,False,76838.23
$58K-$59K,29,False,76838.23
$59K-$60K,20,False,76838.23
$60K-$61K,40,False,76838.23
$61K-$62K,26,False,76838.23
$62K-$63K,25,False,76838.23
$63K-$64K,69,False,76838.23
$64K-$65K,39,False,76838.23
$65K-$66K,20,False,76838.23
$66K-$67K,42,False,76838.23
$67K-$68K,27,False,76838.23
$68K-$69K,33,False,76838.23
$69K-$70K,29,False,76838.23
$70K-$71K,22,False,76838.23
$71K-$72K,9,False,76838.23
$72K-$73K,8,False,76838.23
$73K-$74K,6,False,76838.23
$74K-$75K,8,False,76838.23
$75K-$76K,9,False,76838.23
$76K-$77K,13,True,76838.23
$77K-$78K,7,False,76838.23
$78K-$79K,10,False,76838.23
$79K-$80K,7,False,76838.23
$80K-$81K,5,False,76838.23
$81K-$82K,5,False,76838.23
$82K-$83K,9,False,76838.23
$83K-$84K,8,False,76838.23
$84K-$85K,16,False,76838.23
$85K-$86K,8,False,76838.23
$86K-$87K,9,False,76838.23
$87K-$88K,18,False,76838.23
$88K-$89K,13,False,76838.23
$89K-$90K,9,False,76838.23
$90K-$91K,17,False,76838.23
$91K-$92K,10,False,76838.23
$92K-$93K,10,False,76838.23
$93K-$94K,10,False,76838.23
$94K-$95K,20,False,76838.23
$95K-$96K,19,False,76838.23
$96K-$97K,21,False,76838.23
$97K-$98K,14,False,76838.23
$98K-$99K,8,False,76838.23
$99K-$100K,4,False,76838.23
$100K-$101K,5,False,76838.23
$101K-$102K,13,False,76838.23
$102K-$103K,7,False,76838.23
$103K-$104K,15,False,76838.23
$104K-$105K,14,False,76838.23
$105K-$106K,19,False,76838.23
$106K-$107K,3,False,76838.23
$107K-$108K,11,False,76838.23
$108K-$109K,16,False,76838.23
$109K-$110K,16,False,76838.23
$110K-$111K,9,False,76838.23
$111K-$112K,6,False,76838.23
$112K-$113K,8,False,76838.23
$113K-$114K,11,False,76838.23
$114K-$115K,9,False,76838.23
$115K-$116K,6,False,76838.23
$116K-$117K,10,False,76838.23
$117K-$118K,18,False,76838.23
$118K-$119K,6,False,76838.23
$119K-$120K,4,False,76838.23
$120K-$121K,3,False,76838.23
$121K-$122K,2,False,76838.23
$122K-$123K,2,False,76838.23
$123K-$124K,3,False,76838.23
$124K-$125K,1,False,76838.23
