Section,Metric,Current Value,7 Days Ago,7 Day Change (%),Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,52W Low,52W High
Network Performance,Total Address Count,"56,743,996","56,711,674",0.05699355656474392,"56,727,530","56,727,520","56,729,565","56,737,093","56,743,996",,,"54,205,114","56,922,751"
Network Performance,Address Count > $10,"38,811,540","38,812,494",-0.0024579713944650194,"38,814,787","38,808,564","38,805,730","38,807,278","38,811,540",,,"37,423,902","39,186,262"
Network Performance,Active Addresses,"7,888","8,581",-8.075923916888062,"7,235","7,751","7,940","7,273","7,888",,,"4,300","10,509"
Network Performance,Supply Held 1+ Year %,62.88%,62.47%,0.655691284147375,62.68%,62.72%,62.78%,62.82%,62.88%,,,58.37%,62.88%
Network Performance,Transaction Count,"642,120","572,548",12.151295611896295,"697,056","662,395","581,418","712,367","642,120",,,"290,317","915,712"
Network Performance,Transaction Volume,"$79,773,971,344","$86,041,172,936",-7.283956480163589,"$82,530,772,139","$80,379,053,985","$72,751,630,177","$82,868,685,815","$79,773,971,344",,,"$27,493,100,963","$134,401,811,341"
Network Performance,Transaction Fee USD,"$276,861","$272,100",1.7495871649336303,"$231,632","$239,050","$230,160","$256,658","$276,861",,,"$108,910","$651,551"
Network Security,Hash Rate,919.32 EH/s,831.77 EH/s,10.526315789473673,950.59 EH/s,925.58 EH/s,856.78 EH/s,"1,000.62 EH/s",919.32 EH/s,,,732.41 EH/s,"1,312.79 EH/s"
Network Security,Network Difficulty,125.81T,125.81T,0.0,125.81T,125.81T,125.81T,125.81T,125.81T,,,124.93T,155.97T
Network Security,Miner Revenue,"$37,188,373","$33,130,517",12.248091895962743,"$37,381,314","$36,295,341","$33,241,351","$39,790,483","$37,188,373",,,"$22,793,371","$62,599,996"
Network Security,Fee % Of Reward,0.75%,0.82%,-9.366594164404562,0.62%,0.66%,0.69%,0.64%,0.75%,,,0.30%,1.39%
Network Economics,Bitcoin Supply,"20,079,582","20,076,323",0.01623491637972041,"20,077,764","20,078,207","20,078,636","20,079,136","20,079,582",,,"19,916,523","20,079,582"
Network Economics,% Supply Issued,95.62%,95.60%,0.01623491637972041,95.61%,95.61%,95.61%,95.61%,95.62%,,,94.84%,95.62%
Network Economics,Bitcoin Mined Per Day,459,416,10.526315789473696,475,462,428,500,459,,,325,622
Network Economics,Annual Inflation Rate,0.82%,0.82%,-0.03652745647145794,0.82%,0.82%,0.82%,0.82%,0.82%,,,0.82%,0.85%
Network Economics,Velocity,14.57,14.91,-2.280116307090385,14.73,14.99,15.06,14.25,14.57,,,9.55,20.71
Network Valuation,Market Cap,"$1,595,830,833,792","$1,558,043,324,208",2.425318282047284,"$1,576,987,666,081","$1,550,539,966,776","$1,543,703,324,374","$1,631,650,429,764","$1,595,830,833,792",,,"$1,170,266,627,064","$2,484,832,702,666"
Network Valuation,Bitcoin Price,"$79,475","$77,606",2.408692316484262,"$78,544","$77,225","$76,883","$81,261","$79,475",,,"$58,367","$124,672"
Network Valuation,Realized Price,"$53,113","$53,020",0.17674535805316527,"$53,047","$53,057","$53,062","$53,095","$53,113",,,"$52,631","$56,413"
Network Valuation,Thermocap Price,"$4,895","$4,882",0.2498662339724289,"$4,888","$4,889","$4,891","$4,893","$4,895",,,"$4,253","$4,895"
