Metric,7 Day Avg,7 Day Avg % Change,Monday,Tuesday,Wednesday,Thursday,Friday
<strong>Network Performance</strong>,-,-,-,-,-,-,-
Total Address Count,"53,546,884",<span style='color: green;'>0.18%</span>,"53,582,958",,,,
Address Count > $10,"36,287,626",<span style='color: green;'>1.79%</span>,"36,322,033",,,,
Active Addresses,"709,279",<span style='color: green;'>4.58%</span>,"614,897",,,,
Supply Held 1+ Year %,63.37%,<span style='color: red;'>-0.03%</span>,63.33%,,,,
Transaction Count,"425,723",<span style='color: red;'>-14.13%</span>,"432,684",,,,
Transfer Count,"895,595",<span style='color: red;'>-17.31%</span>,"847,377",,,,
Transaction Volume,"$11,811,582,840.71",<span style='color: green;'>48.78%</span>,"$5,808,420,988.13",,,,
Transaction Fee USD,"$636,152.62",<span style='color: green;'>26.99%</span>,"$483,934.30",,,,
<strong>Network Security</strong>,-,-,-,-,-,-,-
Hash Rate,"837,513,719",<span style='color: red;'>-0.34%</span>,"827,011,978",,,,
Network Difficulty,"123,234,387,977,051",<span style='color: green;'>0.81%</span>,"123,234,387,977,051",,,,
Miner Revenue,"$40,804,410.43",<span style='color: green;'>9.58%</span>,"$40,061,241.59",,,,
Fee % Of Reward,1.59%,<span style='color: green;'>18.02%</span>,1.21%,,,,
<strong>Network Economics</strong>,-,-,-,-,-,-,-
Bitcoin Supply,"19,855,917",<span style='color: green;'>0.01%</span>,"19,856,826",,,,
Bitcoin Supply In 10 Years,"20,796,535",<span style='color: green;'>0.00%</span>,"20,796,762",,,,
% Supply Issued,0.95%,<span style='color: green;'>0.01%</span>,0.95%,,,,
Bitcoin Mined Per Day,427,<span style='color: red;'>-1.24%</span>,422,,,,
Annual Inflation Rate,0.79%,<span style='color: red;'>-1.25%</span>,0.78%,,,,
Velocity,4.39,<span style='color: green;'>0.10%</span>,4.39,,,,
<strong>Network Valuation</strong>,-,-,-,-,-,-,-
Market Cap,"$1,866,833,377,553.52",<span style='color: green;'>10.67%</span>,"$1,862,825,953,569.67",,,,
Bitcoin Price,"$94,018.99",<span style='color: green;'>10.65%</span>,"$93,812.88",,,,
Realised Price,"$44,200.56",<span style='color: green;'>0.85%</span>,"$44,328.66",,,,
Thermocap Price,"$3,906.93",<span style='color: green;'>0.33%</span>,"$3,911.12",,,,
