Moving Average,Price,7 Day % Change
3 Day MA,85409.75889859731,3.532164474171373
7 Day MA,84456.29112803706,1.9535200001441488
30 Day MA,87433.22340138322,-3.1571478357947047
50 Day MA,91599.95541277033,-2.809002508503866
100 Day MA,95386.3049004734,-1.033706811903723
200 Day MA,84507.92019150643,1.0448497554778058
50 Week MA,75638.10339341655,0.41912321718213796
200 Week MA,44952.14636932994,0.4523604858599706
50 Month MA,45551.540219804934,0.45196521106716236
Current Price,86774.23507218,6.983017924714385
