day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Median,Average
1,78092.2,78092.2,78092.2,78092.2,78092.2,78092.2,78092.2,78092.2,78092.2,78092.2,78092.2,78092.2,78092.2,78092.2,78092.19999999998
2,76520.68251222427,78948.33477795385,76364.87482808462,78990.53404473432,79093.22003326804,79180.56792408772,78771.45749997739,76456.86187218812,78217.07693244051,79284.35309484438,80000.87972631914,78138.95486254439,78600.18,78859.89613896562,78330.6498423889
3,74648.7777724655,80446.57063937307,77339.7019053042,82328.66168823573,83728.82654596814,83448.30546292705,78630.27641398573,77770.203757656,76427.38412270279,80791.77832285703,85173.67918935427,77625.53277891749,78654.54,79538.4235266794,79863.30821664559
4,74248.2614364881,80105.45443878206,76703.49897069774,83788.99179205624,83388.8201708758,81881.41447101315,78560.3035382411,72933.26698048439,80558.8850280596,79948.60221307706,86353.63703958876,76601.62393077537,80047.54,80027.02832592957,79589.3966675116
5,73190.96619363251,79172.40130187143,76953.19152030133,83324.24361699932,84249.36727951658,84364.91095824374,79057.43743728926,77574.55841254558,73836.65494590955,81883.53811810301,86436.45249456978,76612.58083820318,81201.65,79114.91936958034,79721.35859309878
6,72890.57894164947,76868.19480964413,79096.10086724191,85162.28235326493,82482.27978519977,83634.18535159706,82152.7445094778,76441.33059167437,73006.6539552919,80010.71345866998,85456.45607869062,77971.01094345335,81319.87,79553.40716295595,79597.71097048793
7,75310.64798869933,79383.09071988352,78996.90793657745,86576.40628014339,80477.05887520517,86517.08830846987,87312.11905886447,77821.01245804522,71909.5325127345,79952.31945600221,84775.15011016373,78461.37096067128,79735.35,79667.70508794286,80624.39205545501
8,74502.82690427035,81760.87129459124,79137.14621786166,91257.19946060117,79275.38779782447,87002.8171631195,87378.5624074593,79757.88240099713,69370.3140549831,76500.91488122028,82526.53459224686,83076.97832248773,80309.59,80759.37684779419,80962.2862914719
9,76812.58424861458,81202.37712303542,79386.83876746528,92528.40660763552,79951.61792335576,90624.82796845399,84420.90689411263,78904.36670798222,63225.56869407845,76424.21207011511,84867.38379335828,83024.11831964222,80341.95,80576.99752319559,80947.76742648747
10,77250.43685320004,80660.60433386151,77432.05394419868,96093.26688682944,77935.56495185378,93544.64220068771,76974.48698983973,75553.25576662624,62822.68418611523,76480.38682327532,82454.2469843206,83928.58474740334,,77683.80944802624,80094.18455568432
