Time,Open,High,Low,Close
2016-12-26,896.09,999.92,891.34,994.75
2017-01-02,992.75,1170.04,825.45,918.49
2017-01-09,920.97,922.13,759.53,833.71
2017-01-16,833.99,945.11,826.03,924.78
2017-01-23,927.8,930.67,885.47,916.64
2017-01-30,916.46,1039.15,916.05,1017.37
2017-02-06,1016.33,1077.88,955.31,1010.0
2017-02-13,1010.0,1073.79,992.9,1059.9
2017-02-20,1059.88,1219.65,1052.1,1182.48
2017-02-27,1183.63,1294.59,1177.31,1277.97
2017-03-06,1278.47,1295.37,1049.44,1235.73
2017-03-13,1235.6,1276.54,944.21,1017.93
2017-03-20,1019.74,1118.27,900.01,973.41
2017-03-27,971.57,1117.87,963.28,1111.98
2017-04-03,1112.01,1214.65,1112.01,1210.94
2017-04-10,1210.98,1232.17,1061.95,1178.61
2017-04-17,1178.5,1258.21,1173.01,1250.89
2017-04-24,1251.76,1390.85,1247.0,1390.85
2017-05-01,1387.43,1662.0,1382.28,1611.38
2017-05-08,1610.63,1887.0,1610.63,1798.7
2017-05-15,1799.91,2098.58,1692.82,2049.25
2017-05-22,2046.76,2799.41,1940.52,2241.07
2017-05-29,2237.0,2598.96,2118.55,2525.9
2017-06-05,2521.03,2988.4,2521.03,2987.96
2017-06-12,2992.47,2999.97,2092.66,2515.25
2017-06-19,2514.39,2775.03,2448.55,2501.23
2017-06-26,2496.79,2601.85,2271.92,2527.7
2017-07-03,2517.87,2632.61,2475.17,2506.22
2017-07-10,2509.59,2522.99,1824.3,1895.78
2017-07-17,1903.62,2862.61,1903.62,2752.84
2017-07-24,2748.5,2825.0,2432.6,2720.77
2017-07-31,2726.37,3334.84,2672.29,3223.19
2017-08-07,3220.06,4191.96,3203.15,4060.04
2017-08-14,4064.4,4462.48,3853.22,4116.83
2017-08-21,4092.49,4438.26,3634.92,4351.01
2017-08-28,4338.01,4980.0,4224.9,4628.01
2017-09-04,4626.6,4689.48,4151.0,4251.6
2017-09-11,4260.77,4367.63,2991.74,3722.16
2017-09-18,3725.5,4119.08,3525.24,3675.52
2017-09-25,3674.55,4390.49,3674.55,4390.49
2017-10-02,4392.29,4610.99,4152.45,4606.09
2017-10-09,4605.76,5849.25,4561.02,5693.69
2017-10-16,5693.7,6169.36,5133.66,6006.94
2017-10-23,6001.25,6225.1,5401.18,6183.14
2017-10-30,6155.25,7620.66,6056.53,7395.62
2017-11-06,7399.5,7779.25,5661.38,5854.34
2017-11-13,5901.07,8069.7,5875.58,8027.0
2017-11-20,8037.45,9554.5,7832.5,9383.49
2017-11-27,9417.99,11883.89,9295.54,11299.82
2017-12-04,11289.99,18187.51,11068.68,15484.94
2017-12-11,15374.5,19890.99,15374.5,19346.4
2017-12-18,19345.41,19367.24,10905.99,14135.78
2017-12-25,14226.98,16470.85,12695.5,13918.5
2018-01-01,13828.5,17117.44,12957.5,16221.11
2018-01-08,16139.11,16183.73,12984.75,13733.01
2018-01-15,13689.91,14247.87,9270.0,11393.86
2018-01-22,11458.96,11810.9,10033.5,11543.99
2018-01-29,11539.49,11557.42,7553.5,8210.38
2018-02-05,8207.08,9006.82,5938.29,8092.85
2018-02-12,8095.01,11294.55,8095.01,10501.72
2018-02-19,10416.55,11746.95,9325.0,9567.49
2018-02-26,9589.99,11483.99,9410.11,11483.99
2018-03-05,11452.96,11638.43,8517.97,9536.2
2018-03-12,9575.18,9857.35,7337.99,8193.01
2018-03-19,8283.5,9157.5,8131.05,8421.82
2018-03-26,8452.51,8488.31,6476.58,6796.33
2018-04-02,6788.97,7474.81,6561.5,7004.65
2018-04-09,7017.81,8361.0,6634.14,8355.24
2018-04-16,8362.16,8988.65,7882.82,8786.26
2018-04-23,8796.49,9727.0,8649.66,9391.24
2018-04-30,9402.15,9933.81,8879.0,9594.45
2018-05-07,9606.99,9606.99,8252.59,8685.35
2018-05-14,8665.15,8868.37,7937.61,8510.05
2018-05-21,8516.86,8535.2,7232.5,7336.79
2018-05-28,7344.55,7741.34,7086.5,7697.62
2018-06-04,7711.22,7724.0,6707.7,6755.56
2018-06-11,6747.78,6897.06,6251.5,6447.58
2018-06-18,6448.22,6794.28,5832.17,6136.28
2018-06-25,6152.63,6445.18,5819.06,6348.89
2018-07-02,6343.34,6773.65,6287.83,6705.98
2018-07-09,6701.97,6744.3,6138.19,6343.78
2018-07-16,6350.35,7593.48,6335.34,7404.5
2018-07-23,7401.23,8458.71,7401.23,8227.51
2018-07-30,8172.89,8223.56,6910.01,7036.7
2018-08-06,7030.42,7152.0,6066.79,6307.61
2018-08-13,6324.37,6608.0,5957.41,6492.22
2018-08-20,6491.76,6802.84,6257.89,6709.98
2018-08-27,6700.37,7314.51,6670.57,7304.31
2018-09-03,7300.6,7384.0,6131.87,6249.5
2018-09-10,6245.28,6579.0,6216.17,6499.99
2018-09-17,6502.49,6793.77,6217.0,6703.97
2018-09-24,6694.36,6764.05,6352.1,6604.69
2018-10-01,6609.35,6631.49,6408.5,6559.93
2018-10-08,6577.79,6635.15,6139.08,6186.06
2018-10-15,6179.64,6732.76,6154.47,6416.06
2018-10-22,6412.96,6449.91,6371.15,6402.41
2018-10-29,6404.87,6443.67,6218.02,6413.01
2018-11-05,6418.75,6528.34,6282.8,6317.22
2018-11-12,6348.61,6381.22,4983.1,5585.47
2018-11-19,5583.89,5591.14,3590.01,3977.11
2018-11-26,3979.85,4362.46,3633.43,4125.77
2018-12-03,4125.2,4125.53,3259.5,3581.52
2018-12-10,3568.25,3850.94,3166.01,3232.77
2018-12-17,3225.46,4120.32,3204.11,3964.76
2018-12-24,3968.84,4248.11,3015.34,3845.07
2018-12-31,3846.03,4076.69,3679.9,4056.81
2019-01-07,4060.67,4071.35,3510.7,3512.54
2019-01-14,3512.12,3750.34,3512.12,3549.79
2019-01-21,3549.73,3884.25,3523.54,3552.71
2019-01-28,3552.66,3556.07,3379.12,3426.92
2019-02-04,3437.12,3668.03,3358.28,3650.69
2019-02-11,3658.61,3658.61,3570.3,3624.72
2019-02-18,3631.35,4178.29,3594.55,3778.93
2019-02-25,3775.96,3860.37,3751.16,3802.95
2019-03-04,3805.88,3937.69,3712.12,3926.94
2019-03-11,3928.48,4031.23,3819.68,3986.84
2019-03-18,3984.92,4052.34,3974.22,3981.72
2019-03-25,3981.92,4597.27,3895.78,4107.67
2019-04-01,4096.92,5268.77,4093.37,5185.51
2019-04-08,5186.58,5413.11,4961.2,5131.02
2019-04-15,5135.91,5322.07,5010.99,5291.24
2019-04-22,5303.39,5579.63,4544.65,5129.74
2019-04-29,5130.65,6237.86,4492.62,5736.89
2019-05-06,5738.35,7495.02,4983.1,6931.66
2019-05-13,6939.08,8316.8,6925.96,8223.36
2019-05-20,8222.89,8694.73,7574.53,8694.73
2019-05-27,8705.5,9752.56,8218.3,8719.93
2019-06-03,8719.59,8719.59,7523.74,7602.74
2019-06-10,7621.27,9325.9,7157.84,9027.31
2019-06-17,9028.39,11097.47,8709.26,10798.17
2019-06-24,10818.62,13784.43,10479.52,10956.73
2019-07-01,10952.23,11932.12,9777.22,11461.72
2019-07-08,11464.55,13055.79,10401.96,10541.52
2019-07-15,10549.34,10996.51,9129.51,10578.34
2019-07-22,10581.75,10604.81,9221.24,9539.22
2019-07-29,9537.97,10980.7,9431.55,10976.06
2019-08-05,10972.25,12225.3,10972.25,11491.26
2019-08-12,11491.43,11491.8,9564.67,10351.75
2019-08-19,10347.28,10868.07,9860.67,10094.71
2019-08-26,10109.98,10573.93,9423.06,9774.66
2019-09-02,9775.6,10873.8,9766.76,10396.22
2019-09-09,10397.73,10440.4,9970.74,10306.7
2019-09-16,10310.35,10355.79,9771.98,10012.51
2019-09-23,10011.87,10019.47,7911.76,8054.41
2019-09-30,8046.29,8471.53,7767.19,7865.13
2019-10-07,7864.79,8706.96,7835.73,8273.33
2019-10-14,8280.81,8348.96,7870.21,8221.24
2019-10-21,8224.23,10078.11,7411.15,9569.44
2019-10-28,9564.24,9763.72,9041.1,9217.52
2019-11-04,9221.09,9442.73,8727.71,9041.87
2019-11-11,9031.98,9036.79,8426.46,8518.02
2019-11-18,8515.45,8515.45,6923.65,6996.34
2019-11-25,6955.25,7763.1,6554.62,7404.51
2019-12-02,7408.11,7580.09,7151.24,7514.82
2019-12-09,7510.53,7517.95,7021.7,7098.12
2019-12-16,7096.81,7438.21,6471.95,7438.21
2019-12-23,7468.28,7587.43,7106.27,7414.19
2019-12-30,7397.69,7474.93,6902.08,7330.76
2020-01-06,7330.24,8404.8,7328.55,8134.86
2020-01-13,8139.43,9129.25,8040.29,8665.84
2020-01-20,8685.82,8722.33,8227.99,8568.63
2020-01-27,8585.96,9542.37,8585.96,9358.45
2020-02-03,9345.6,10120.53,9120.75,10120.23
2020-02-10,10126.31,10463.67,9758.15,9873.83
2020-02-17,9907.36,10210.31,9543.15,9961.67
2020-02-24,9972.87,9981.34,8439.14,8528.42
2020-03-02,8523.7,9130.47,8214.38,8214.38
2020-03-09,8201.0,8201.0,4622.03,5366.84
2020-03-16,5368.5,6830.71,4551.35,5898.23
2020-03-23,5874.69,7165.06,5822.29,5895.59
2020-03-30,5893.33,7104.43,5890.9,6770.41
2020-04-06,6774.73,7416.21,6769.79,7005.96
2020-04-13,7005.71,7246.14,6543.51,7167.83
2020-04-20,7161.55,7672.22,6831.58,7646.89
2020-04-27,7663.01,9405.27,7663.01,8911.14
2020-05-04,8911.79,9992.39,8506.13,8723.49
2020-05-11,8724.32,9778.01,8445.69,9749.65
2020-05-18,9749.8,9888.22,8912.76,9021.65
2020-05-25,9016.16,9666.94,8722.08,9443.65
2020-06-01,9445.36,10215.53,9445.14,9762.59
2020-06-08,9766.42,9903.76,9234.83,9342.62
2020-06-15,9339.66,9551.1,9027.77,9308.36
2020-06-22,9286.46,9664.94,8930.63,9123.13
2020-06-29,9122.14,9275.97,9017.26,9058.25
2020-07-06,9059.71,9443.01,9059.43,9293.19
2020-07-13,9303.79,9333.22,9072.14,9198.67
2020-07-20,9213.78,9987.13,9130.73,9898.24
2020-07-27,9901.87,11997.74,9901.87,11097.32
2020-08-03,11094.6,11882.84,11091.62,11655.76
2020-08-10,11652.78,12024.54,11237.22,11886.99
2020-08-17,11888.25,12425.18,11466.89,11629.6
2020-08-24,11626.22,11768.57,11220.23,11653.99
2020-08-31,11689.52,12020.32,10004.13,10231.16
2020-09-07,10231.78,10588.36,9957.59,10335.32
2020-09-14,10344.25,11094.9,10263.19,10858.44
2020-09-21,10886.24,10982.69,10233.51,10719.39
2020-09-28,10722.9,11075.39,10463.6,10660.83
2020-10-05,10691.57,11384.03,10583.67,11355.63
2020-10-12,11353.71,11645.32,11227.25,11476.86
2020-10-19,11476.87,13324.18,11463.27,13028.88
2020-10-26,13028.65,13925.12,12900.69,13770.24
2020-11-02,13785.63,15844.36,13343.83,15478.88
2020-11-09,15481.72,16413.05,14979.85,16005.88
2020-11-16,16007.76,18847.8,15884.0,18604.1
2020-11-23,18557.69,19303.11,16431.71,18184.7
2020-11-30,18184.38,19740.71,18184.38,19289.92
2020-12-07,19289.59,19303.54,17700.36,19081.55
2020-12-14,19088.71,23989.17,19060.14,23489.27
2020-12-21,23476.06,28095.01,22207.34,26446.07
2020-12-28,26431.88,34600.95,26299.0,33423.93
2021-01-04,33404.49,41441.1,29178.3,38459.84
2021-01-11,38450.53,39758.22,31268.77,36290.62
2021-01-18,36235.24,37474.29,29529.24,32057.17
2021-01-25,32141.25,38396.38,29555.71,33076.37
2021-02-01,33088.7,40705.02,32520.86,38826.72
2021-02-08,38857.77,49459.43,38178.33,48983.49
2021-02-15,48955.69,58183.17,46782.37,57510.38
2021-02-22,57491.77,57491.77,43575.49,45321.67
2021-03-01,45281.8,52205.13,45233.28,50998.8
2021-03-08,51149.52,61626.27,49598.72,60250.1
2021-03-15,60200.71,60274.98,53864.47,57566.21
2021-03-22,57545.75,58045.72,50940.25,55580.97
2021-03-29,55588.74,59592.12,55031.12,58215.03
2021-04-05,58220.63,60906.92,55740.91,59825.15
2021-04-12,59954.08,64546.62,53747.27,56347.33
2021-04-19,56371.49,57203.76,47847.53,48511.78
2021-04-26,48856.87,58228.57,48856.87,56414.9
2021-05-03,56452.76,59113.68,53695.46,58220.83
2021-05-10,58232.66,59434.0,44336.12,45795.14
2021-05-17,45953.0,46147.34,31434.87,34393.08
2021-05-24,34565.21,40313.35,33857.9,35697.68
2021-05-31,35639.2,39182.02,34328.42,35755.58
2021-06-07,35782.32,38935.58,31507.88,38897.21
2021-06-14,38905.83,41172.1,33637.68,35536.27
