Asset,Market Cap (USD),Market Cap BTC Price,BTC % Move to Marketcap BTC Price
Total Gold Market,28207010595703.125,1405207.172241598,1691.060994596634
US M0,5730000000000.0,285455.1732671353,263.837899951088
NVIDIA,5200733149566.65,259088.33897481367,230.2310344405476
Apple,4514709672075.806,224912.25684000185,186.67059092092956
Amazon,2789664331793.9067,138974.5401726661,77.13535986882204
TSMC,2172873351057.8003,108247.45879821034,37.970973282470034
Total Silver Market,2146499505615.2344,106933.57561836246,36.29631280437966
SpaceX,1805508415157.69,89946.19851380614,14.644396180626712
Saudi Aramco,1753123498980.7056,87336.50474000415,11.318110335784175
Broadcom,1752930482029.0303,87326.88908775564,11.305854335373615
Bitcoin,1574877163915.66,78456.69,0.0
Tesla,1433132709532.1418,71395.31342308842,-9.000349845133137
Meta,1400873735322.476,69788.24691829956,-11.048698436934373
Samsung Electronics,1329091687463.3047,66212.23349611637,-15.606644256702173
Eli Lilly,1119492182863.4304,55770.477317711,-28.915587290630036
Micron,1091874743611.47,54394.64120831083,-30.669212264357792
UK M0,1090000000000.0001,54301.245874551045,-30.78825288888552
Berkshire Hathaway Class B,1061406745740.1068,52876.79694801891,-32.6038392034906
JPMorgan,934565066744.6819,46557.84172024695,-40.65790728585804
Visa,692749230933.1329,34511.14341129008,-56.01249120847428
Switzerland M0,580000000000.0,28894.24092407303,-63.1717308950033
