Time Frame,ROI (%),Start Date,BTC Price
1 day,3.122112102545027,2026-06-10,61344.37
3 day,0.050072792174993275,2026-06-08,63227.95
7 day,0.0037307976556100186,2026-06-04,63257.25
30 day,-21.313069810514584,2026-05-12,80394.05
90 day,-10.709228016810934,2026-03-13,70846.75
1 Year,-41.656543808633764,2025-06-11,108426.23
2 Year,-6.018591081338098,2024-06-11,67310.77
4 Year,134.03377417488343,2022-06-12,27030.12
5 Year,76.69309817308935,2021-06-12,35801.97
10 Year,8949.756802380476,2016-06-13,699.02
