Valuation Model,Model Price,Difficulty Period Change,BTC Price,Buy Target,Sell Target,% To Buy Target,% To Model Price,% To Sell Target
200 Day Moving Average,88215.65406289157,7.67,87360.7198933372,61477.48931642913,191066.28513481686,-0.2962799597863905,0.009786253714463424,1.1870960469201566
NVT Price,75116.08652152747,-27.39,87360.7198933372,40562.686721624836,156241.45996477714,-0.5356873573025758,-0.1401617727825478,0.7884635126123006
Realized Price,43838.18686797073,0.03,87360.7198933372,38752.95719128613,139536.94880075083,-0.5564029550282846,-0.498193388041046,0.5972504458653505
ThermoCap Price,31194.080369729698,0.62,87360.7198933372,19496.300231081063,99126.98889490854,-0.7768299041619048,-0.6429278466590476,0.1346860352792117
Stock To Flow Price,791347.2732319053,13.01,87360.7198933372,229490.7092372525,2453176.5470189066,1.626932441919532,8.058387730757007,27.081001965346726
Silver Market Cap,29806.890924024574,0.0,87360.7198933372,25100.539725494382,48284.31325913844,-0.7126793396833175,-0.6588067158739397,-0.4472995035057973
UK M0 Price,22138.315057580192,-0.03,87360.7198933372,11920.63118485087,54900.06464376429,-0.8635470128977264,-0.7465873096672063,-0.3715703726938794
Apple Market Cap,52467.32881432689,-0.03,87360.7198933372,23848.785824694038,153768.6896278488,-0.7270079063701382,-0.39941739401430404,0.760158224607034
US M0 Price,62665.33641210595,-0.03,87360.7198933372,26856.572748045408,288603.09211813705,-0.6925783947197796,-0.28268292101281906,2.303579600425753
Gold Market Cap,129847.82463677037,0.0,87360.7198933372,64923.912318385184,999120.0363570682,-0.25682947212827645,0.48634105574344705,10.43671935827613
