Year,Start Price ($),End Price ($),Return (%),Report Date Return (%),End of Period Indexed to Current Price ($)
2025,94455.8,98414.81,4.19,4.19,98414.81
2024,44049.47,93389.73,112.01,-0.3,200256.69
2023,16606.75,42217.16,154.22,2.11,240122.53
2022,47560.01,16524.22,-65.26,-9.28,32817.66
2021,29380.69,46355.12,57.77,24.72,149026.76
2020,7170.63,29022.67,304.74,8.3,382303.76
2019,3808.12,7167.4,88.21,6.25,177778.64
2018,13464.65,3687.2,-72.62,27.03,25866.05
2017,997.26,13921.48,1295.98,-10.51,1318580.94
2016,434.68,968.97,122.92,-0.92,210557.9
2015,314.78,429.68,36.5,-8.65,128934.34
2014,752.4,320.66,-57.38,21.54,40255.49
Median,,,,3.15,163402.7
Average,,,,5.37,250409.63
