day_of_year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Median,Average
1,88448.95,88448.95,88448.95,88448.95,88448.95,88448.95,88448.95,88448.95,88448.95,88448.95,88448.95,88448.95,88448.95,88448.95,88448.95
2,91887.21815217823,88899.08620026082,88310.22894918929,89633.35632011929,97149.62610706742,90260.42045314627,85605.1177152126,96524.6144053239,88405.03593205642,88953.46894177646,91194.48773065563,90464.61598370077,90145.35,89946.88838663278,90607.27307422391
3,94765.14120488794,81173.62366328445,87488.1027215905,90683.21124961218,97870.68782894031,87714.7634018709,90411.34614181439,100862.86577787118,86409.11351376503,88493.77362455464,86323.99078949264,91722.54504504462,90300.85,89452.55988318451,90326.59708022741
4,97150.71082291818,74275.28639428735,88436.7099072814,98685.4781658143,97662.24722765782,88698.60113110485,90527.65274591588,94619.74171193718,86330.18031249115,89508.6742889648,89547.48459242903,91788.0338003578,91231.13000000002,90037.56866917245,90602.56675842998
5,105779.79090071701,77873.5626451223,88144.9876974883,85712.77665509061,110353.22166917284,88563.85412503716,90522.34363341445,102492.62204598096,81248.23881484958,89488.26115197976,89227.03401375948,92424.74667890243,94208.64,89357.64758286963,91819.28666929291
6,106443.29576745172,79055.17017080696,88067.46711027055,78822.32912459092,110207.84368147349,93586.64106868018,95728.23711041595,109535.50596922706,80637.79589675913,90451.67594086113,88433.03565624959,95764.33611162896,93321.48,92019.15850477066,93061.11113403464
7,95062.89780586075,84400.53754890422,93110.38531033052,79225.98329647013,106961.85444981465,92805.38531089731,100147.51766307496,118161.07128689291,77803.11478074554,90445.22688191806,88634.5431981466,90561.89403330737,91171.67,91683.63967210235,93110.03429719691
8,96242.20150892632,81303.03782085945,92263.77889729454,80585.66050701067,97530.16281270752,92651.48761732342,99208.66902444676,123055.22863579776,78030.44015799386,90442.66857754397,94735.33821824148,88764.57696083741,91163.02,92457.63325730897,92901.10422824859
9,96954.94171912897,81303.03782085945,92186.25831007681,79098.51355798196,93898.59448574515,92793.38728980909,96620.9088170548,121676.38747969606,78065.38454397448,91553.0792719207,93092.35916439396,86413.60180816824,90265.31,92489.82279994295,91971.37118906747
10,99347.54495765464,81303.03782085945,91217.25096985491,80108.53419419729,94479.51706632225,83913.46729747848,99524.12908121887,116059.69117205142,77932.53981673584,92542.18370055866,94725.83409935622,88506.751270596,90197.47,91879.71733520678,91638.37345390698
11,103918.22600959564,81303.03782085945,91302.93161888506,69716.20968134189,87344.47020696502,83886.01028768044,99257.43877882055,105696.79142941363,79776.35137840564,93699.07025773163,93526.13119462304,88477.6118644572,90396.55,89890.27174167114,89825.35671073159
